Row ID	Order ID	Order Date	Order Priority	Order Quantity	Sales	Discount	Ship Mode	Profit	Unit Price	Shipping Cost	First Name	Last Name	Region	Customer Segment	Product Category	Product Sub-Category	Product Name	Product Container	Product Base Margin	Ship Date	BirthDate
988	7110	~40762%	Low	22/01/1900	6396.2	0.02	Regular Air	1902.24	276.2	24.49	Grant	Carroll	Nunavut	Corporate	Furniture	Chairs & Chairmats	SAFCO Arco Folding Chair	Large Box		11/08/2011	26/06/1959
1017	7430	~40337%	Medium	19/02/1900	751.77	0.05	Regular Air	353.2	15.67	1.39	Barry	Weirich	Nunavut	Corporate	Office Supplies	Envelopes	#10 White Business Envelopes,4 1/8 x 9 1/2	Small Box	0.38	09/06/2010	06/02/1959
1073	7906	~40103%	Medium	06/02/1900	1003.06	0.03	Regular Air	271.78	25.98	5.37	Beth	Paige	Nunavut	Consumer	Office Supplies	Appliances	3M Office Air Cleaner	Medium Box	0.5	17/10/2009	14/08/1960
1154	8391	~40783%	High	04/01/1900	1266.72	0.04	Delivery Truck	-268.36	300.98	64.73	Sylvia	Foulston	Nunavut	Corporate	Furniture	Chairs & Chairmats	Global Leather and Oak Executive Chair, Black	Jumbo Drum	0.56	29/08/2011	28/08/1960
1156	8419	~40815%	Critical	19/01/1900	368.04	0.07	Express Air	70.39	19.98	5.97	Nicole	Hansen	Nunavut	Small Business	Office Supplies	Paper	Xerox 1936	Small Box	0.38	01/10/2011	16/11/1961
1157	8419	~40815%	Critical	24/01/1900	152.6	0.1	Regular Air	-86.62	6.48	7.03	Nicole	Hansen	Nunavut	Small Business	Office Supplies	Paper	Xerox 214	Small Box	0.37	30/09/2011	13/07/1961
1205	8833	~41033%	Low	09/02/1900	3338.98	0	Regular Air	-846.73	80.98	35	Nicole	Hansen	Nunavut	Small Business	Office Supplies	Storage & Organization	Carina Double Wide Media Storage Towers in Natural & Black	Large Box	0.81	08/05/2012	19/09/1961
1226	8995	~40680%	High	05/01/1900	24.16	0.08	Express Air	8.05	1.88	1.49	Beth	Paige	Nunavut	Consumer	Office Supplies	Binders and Binder Accessories	Staples® General Use 3-Ring Binders	Small Box	0.37	18/05/2011	10/01/1978
1227	8995	~40680%	High	10/02/1900	270.84	0.1	Express Air	-78.02	6.48	5.86	Beth	Paige	Northwest Territories	Consumer	Office Supplies	Paper	Xerox 1904	Small Box	0.36	18/05/2011	11/03/1963
1228	8995	~40680%	High	04/02/1900	3389.93	0.08	Express Air	737.94	102.3	21.26	Beth	Paige	Northwest Territories	Consumer	Furniture	Office Furnishings	Luxo Professional Combination Clamp-On Lamps	Large Box	0.59	18/05/2011	17/07/1963
1229	8995	~40680%	High	11/02/1900	266.36	0.07	Regular Air	-191.28	6.48	8.19	Beth	Paige	Northwest Territories	Consumer	Office Supplies	Paper	Xerox 217	Small Box	0.37	18/05/2011	
1230	8995	~40680%	High	15/02/1900	89.41	0.01	Regular Air	-21.49	1.89	0.76	Beth	Paige	Northwest Territories	Consumer	Office Supplies	Rubber Bands	Revere Boxed Rubber Bands by Revere	Wrap Bag	0.83	19/05/2011	04/08/1970
1258	9126	~40134%	Medium	16/02/1900	2799.7	0.04	Regular Air	884.08	62.05	3.99	Sylvia	Foulston	Northwest Territories	Corporate	Office Supplies	Appliances	Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets	Small Box	0.55	18/11/2009	15/03/1970
1259	9127	~40826%	Not Specified	07/01/1900	2039.56	0.04	Express Air	-329.49	279.48	35	Bryan	Davis	Northwest Territories	Corporate	Office Supplies	Storage & Organization	Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units	Large Box	0.8	12/10/2011	12/09/1961
1299	9509	~41189%	Not Specified	05/02/1900	12175.82	0.02	Delivery Truck	2825.15	320.98	58.95	Joy	Bell	Northwest Territories	Home Office	Furniture	Chairs & Chairmats	Hon 4070 Series Pagoda™ Round Back Stacking Chairs	Jumbo Drum	0.57	08/10/2012	19/07/1961
1300	9509	~41189%	Not Specified	05/01/1900	101.21	0.1	Express Air	2.13	18.97	5.21	Joy	Bell	Northwest Territories	Home Office	Office Supplies	Paper	Xerox 1887	Small Box	0.37	08/10/2012	23/12/1961
1301	9509	~41189%	Not Specified	01/02/1900	1585.64	0.02	Regular Air	707.15	48.91	5.81	Joy	Bell	Northwest Territories	Home Office	Office Supplies	Paper	Xerox 1891	Small Box	0.38	07/10/2012	03/10/1961
1337	9763	~40768%	Medium	13/02/1900	176.26	0.07	Regular Air	75.13	4.13	0.5	Alan	Barnes	Northwest Territories	Corporate	Office Supplies	Labels	Avery 506	Small Box	0.39	16/08/2011	25/11/1961
1370	9927	~40771%	High	01/02/1900	4655.07	0	Delivery Truck	-270.63	140.98	53.48	Grant	Carroll	Northwest Territories	Corporate	Furniture	Bookcases	Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order	Jumbo Box	0.65	17/08/2011	05/02/1961
1371	9927	~40771%	High	13/02/1900	10087.6	0.01	Regular Air	3387.35	218.08	18.06	Grant	Carroll	Northwest Territories	Corporate	Furniture	Chairs & Chairmats	Lifetime Advantage™ Folding Chairs, 4/Carton	Large Box	0.57	17/08/2011	17/12/1961
1372	9927	~40771%	High	03/02/1900	1608.08	0.09		-82.16	50.98	6.5	Grant	Carroll	Northwest Territories	Corporate	Technology	Computer Peripherals	Microsoft Natural Multimedia Keyboard	Small Box	0.73	17/08/2011	04/04/1961
1380	10022	~39876%	Low	01/01/1900	12.18	0.06	Regular Air	-3.88	10.14	2.27	Delfina	Latchford	Northwest Territories	Small Business	Office Supplies	Paper	Staples Wirebound Steno Books, 6" x 9", 12/Pack	Wrap Bag	0.36	04/03/2009	06/05/1971
1445	10437	~40043%	Critical	19/02/1900	820.52	0.01	Regular Air	-191.22	15.99	13.18	Don	Jones	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2" x 11"	Small Box	0.37	20/08/2009	10/09/1971
1457	10499	~40498%	Not Specified	29/01/1900	6250.936	0.01	Delivery Truck	31.21	262.11	62.74	Doug	Bickford	Northwest Territories	Corporate	Furniture	Tables	Bevis Boat-Shaped Conference Table	Jumbo Box	0.75	17/11/2010	01/04/1966
1462	10535	~40690%	Low	25/01/1900	854.88	0.09	Regular Air	-44.14	33.98	19.99	Doug	Bickford	Northwest Territories	Corporate	Furniture	Office Furnishings	Linden® 12" Wall Clock With Oak Frame	Small Box	0.55	29/05/2011	01/09/1966
1463	10535	~40690%	Low	15/02/1900	80.27	0.09	Regular Air	-0.79	1.76	0.7	Doug	Bickford	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Newell 326	Wrap Bag	0.56	03/06/2011	10/08/1966
1495	10789	~40413%	Not Specified	15/01/1900	308.54	0	Express Air	76.42	19.84	4.1	Jamie	Kunitz	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Prismacolor Color Pencil Set	Wrap Bag	0.44	24/08/2010	27/10/1965
1496	10791	~40774%	Not Specified	20/01/1900	400.57	0.05	Regular Air	93.36	19.98	5.77	Anthony	Johnson	Northwest Territories	Small Business	Office Supplies	Paper	Xerox Blank Computer Paper	Small Box	0.38	21/08/2011	01/05/1965
1513	10945	~40911%	Medium	14/01/1900	1170.025	0.04	Regular Air	4.22	95.99	8.99	Ralph	Knight	Northwest Territories	Consumer	Technology	Telephones and Communication	600 Series Flip	Small Box	0.57	05/01/2012	08/03/1965
1544	11137	~41242%	High	17/02/1900	5188.86	0.1	Regular Air	395.12	111.03	8.64	Allen	Rosenblatt	Northwest Territories	Small Business	Office Supplies	Storage & Organization	Fellowes Recycled Storage Drawers	Small Box	0.78	30/11/2012	15/09/1964
1551	11202	~40985%	Medium	08/01/1900	339.81	0.05	Regular Air	79.59	43.41	2.99	Barry	Weirich	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Satellite Sectional Post Binders	Small Box	0.39	18/03/2012	08/05/1969
1589	11456	~40280%	Low	15/01/1900	1519.9	0.09	Regular Air	399.37	105.34	24.49	Doug	Bickford	Northwest Territories	Corporate	Furniture	Office Furnishings	Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting	Large Box	0.61	19/04/2010	21/04/1969
1590	11460	~40414%	High	30/01/1900	102.24	0.09	Regular Air	37.79	3.69	0.5	Carl	Jackson	Northwest Territories	Home Office	Office Supplies	Labels	Avery 487	Small Box	0.38	26/08/2010	17/10/1968
1594	11495	~40728%	High	06/01/1900	965.69	0	Delivery Truck	-144.2	146.34	43.75	Brendan	Dodson	Northwest Territories	Corporate	Furniture	Tables	Bevis Round Conference Table Top & Single Column Base	Jumbo Box	0.65	05/07/2011	11/03/1968
1654	11911	~40492%	Critical	25/01/1900	397.84	0	Regular Air	-14.75	15.22	9.73	Edward	Hooks	Northwest Territories	Consumer	Office Supplies	Binders and Binder Accessories	GBC Twin Loop™ Wire Binding Elements, 9/16" Spine, Black	Small Box	0.36	12/11/2010	28/12/1968
1655	11941	~40353%	Critical	04/01/1900	73.07	0.08	Regular Air	-41.01	15.7	11.25	Jamie	Kunitz	Northwest Territories	Corporate	Office Supplies	Storage & Organization	Hanging Personal Folder File	Small Box	0.6	25/06/2010	11/09/1968
1656	11941	~40353%	Critical	26/01/1900	4679.1	0.05	Delivery Truck	111.52	179.29	29.21	Jamie	Kunitz	Northwest Territories	Corporate	Furniture	Tables	Bevis Round Conference Table Top, X-Base	Jumbo Box	0.74	25/06/2010	09/09/1963
1675	12096	~41171%	Medium	15/02/1900	8009.5925	0.02	Regular Air	2332.4	200.99	8.08	Michelle	Lonsdale	Northwest Territories	Home Office	Technology	Telephones and Communication	5125	Small Box	0.59	19/09/2012	14/07/1967
